Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
6;Dreamworks EL GATO CON BOTAS;ESTADOS UNIDOS;PARAMOUNT SPAIN S.L.;14085367,39;2011;6,15;6,4;1,47
1;CROODS, LOS;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;13777179,91;2013;6,12;6,8;1,37
5;PADRES DE EL, LOS;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;13618065,765;2005;6,39;6,1;1,37
5;SEÑOR DE LOS ANILLOS: LAS DOS TORRES, EL;NUEVA ZELANDA;AURUM PRODUCCIONES S.A.;16206034,91;2002;8,95;8;1,35
4;HOBBIT: UN VIAJE INESPERADO, EL;NUEVA ZELANDA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;16808734,2;2012;7,45;7;1,34
8;4 FANTASTICOS, LOS;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;12682960,145;2005;5,95;5,6;1,23
8;FURIA DE TITANES;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;12007008,4;2010;5,18;5,6;1,2
7;300;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;15000977,29;2007;6,28;6,5;1,19
5;RENACIDO (THE REVENANT), EL;ESTADOS UNIDOS;HISPANO FOXFILM, S.A.;14360338,53;2016;5,96;7,3;1,17
6;MADAGASCAR;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;13598279,1499;2005;6,38;6,6;1,05
3;MALEFICA;REINO UNIDO;THE WALT DISNEY COMPANY IBERIA, S.L.;12527245,55;2014;5,5;7;1,02
7;ORIGEN DEL PLANETA DE LOS SIMIOS, EL;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;14041225,09;2011;6,13;7,1;1,02
9;TERMINATOR 3: LA REBELION DE LAS MAQUINAS;ESTADOS UNIDOS;COLUMBIA TRI-STAR FILMS DE ESPAÑA S.A,;11483984,1;2003;6,04;5,9;0,96
2;GRU 2 MI VILLANO FAVORITO;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;13078170,37;2013;5,81;7;0,94
8;ICE AGE. LA EDAD DE HIELO;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;12354356,38;2002;6,83;7,1;0,93
7;ANIMALES FANTASTICOS Y DONDE ENCONTRARLOS;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;12859730,7;2016;5,34;7,2;0,91
7;FAST & FURIOUS 7;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;13441604,24;2015;5,77;7,3;0,89
